com.samsung.shealth.rewards,6196009,4
number_of_streak,start_time,exercise_type,device_type,exercise_session_id,update_time,create_time,source_pkg_name,program_id,title,time_offset,extra_data,deviceuuid,pkg_name,controller_id,end_time,datauuid,is_visible
,2021-08-27 15:00:00.000,,2599999,,2021-09-02 15:00:13.210,2021-08-28 15:00:36.533,,,tracker_pedometer_reward_target_achieved,UTC+0900,"{""mTarget"":6000,""mValue"":8042}",TKIQsULl+e,com.sec.android.app.shealth,tracker.pedometer,2021-08-27 15:00:00.000,45862614-1dce-461f-8486-28cdc40ea8c9,1,
,2021-09-25 15:00:00.000,,2599999,,2021-10-01 15:00:08.620,2021-09-26 15:03:40.017,,,tracker_pedometer_reward_target_achieved,UTC+0900,"{""mTarget"":6000,""mValue"":8650}",TKIQsULl+e,com.sec.android.app.shealth,tracker.pedometer,2021-09-25 15:00:00.000,641ea493-044c-44df-b703-f9eb5d4e4b18,1,
,2021-08-11 15:00:00.000,,100003,,2021-08-27 10:22:53.619,2021-08-12 12:00:06.848,,,tracker_pedometer_reward_target_achieved,UTC+0900,"{""mTarget"":6000,""mValue"":6154}",TKIQsULl+e,com.sec.android.app.shealth,tracker.pedometer,2021-08-11 15:00:00.000,91c7be27-310d-4e8e-9171-32c40dd74c8b,1,
,2021-09-03 15:00:00.000,,10009,,2021-09-04 15:30:58.947,2021-09-04 15:30:58.947,,,tracker_pedometer_reward_most_walking_day,UTC+0900,"{""mTarget"":-1,""mValue"":11375}",TKIQsULl+e,com.sec.android.app.shealth,tracker.pedometer,2021-09-03 15:00:00.000,5eff986d-028d-4d5c-b787-6af15be515b0,1,
,2021-10-04 15:00:00.000,,100003,,2021-10-25 12:15:44.410,2021-10-05 12:58:26.977,,,tracker_pedometer_reward_target_achieved,UTC+0900,"{""mTarget"":6000,""mValue"":11979}",TKIQsULl+e,com.sec.android.app.shealth,tracker.pedometer,2021-10-04 15:00:00.000,1523e649-49aa-4a73-a5b5-c381ffe3e98c,1,
,2021-10-07 15:00:00.000,,10009,,2021-10-13 17:15:55.151,2021-10-08 15:00:02.061,,,tracker_pedometer_reward_target_achieved,UTC+0900,"{""mTarget"":6000,""mValue"":7014}",TKIQsULl+e,com.sec.android.app.shealth,tracker.pedometer,2021-10-07 15:00:00.000,7507c754-86f9-4955-be3d-b37d9363499d,1,
,2021-09-04 15:00:00.000,,100003,,2021-09-06 15:02:08.132,2021-09-06 15:02:08.132,,,tracker_pedometer_reward_most_walking_day,UTC+0900,"{""mTarget"":-1,""mValue"":10242}",TKIQsULl+e,com.sec.android.app.shealth,tracker.pedometer,2021-09-04 15:00:00.000,99ddf0a1-e927-4a23-9419-7cacc43f19c5,1,
1205,,0,,30d85db1-4835-a475-b426-817926323797,2021-08-21 03:53:02.093,2021-08-21 03:53:02.093,,,1205,UTC+0900,406.27664,TKIQsULl+e,com.sec.android.app.shealth,sport.tracker.best.record.calories.lifetime,2021-08-21 03:52:58.000,bc7db8b5-caad-4b10-b9a0-f0220ad9e6b6,1,
,2021-09-20 15:00:00.000,,100003,,2021-10-09 02:53:04.021,2021-10-09 02:53:04.021,,,tracker_pedometer_reward_most_walking_day,UTC+0900,"{""mTarget"":-1,""mValue"":13817}",TKIQsULl+e,com.sec.android.app.shealth,tracker.pedometer,2021-09-20 15:00:00.000,1858c1b1-ac26-4ff1-86c9-1fd2bc571716,1,
,2021-10-04 15:00:00.000,,100003,,2021-10-09 15:04:05.170,2021-10-09 15:04:05.170,,,tracker_pedometer_reward_most_walking_day,UTC+0900,"{""mTarget"":-1,""mValue"":11979}",TKIQsULl+e,com.sec.android.app.shealth,tracker.pedometer,2021-10-04 15:00:00.000,6e621135-5b1a-4d37-aef2-328cf8126774,1,
