com.samsung.health.food_intake,6201005,4
start_time,amount,custom,update_time,create_time,meal_type,name,unit,calorie,time_offset,deviceuuid,comment,pkg_name,datauuid,food_info_id
2021-08-11 06:46:43.612,1.0,,2021-08-11 06:47:53.067,2021-08-11 06:47:53.067,100002,콩국수 김치,120001,700.0,UTC+0900,cg/D3WXl8C,,com.sec.android.app.shealth,4951f07f-70c2-41fb-b0eb-439e68fa47d5,ae6b48c3-76d9-48c0-9ee0-2ff4449c7d01,
2021-11-04 03:00:00.000,3.0,,2021-11-04 07:05:36.819,2021-11-04 07:05:36.819,100002,바나나,120001,240.0,UTC+0900,cg/D3WXl8C,,com.sec.android.app.shealth,3f876b12-a890-4723-9a0a-7b3595847b45,2c339c86-9369-449e-a6d6-b199e3e2601f,
2021-10-23 05:12:56.716,1.0,,2021-10-23 05:13:13.112,2021-10-23 05:13:13.112,100002,잡곡밥,120001,353.0,UTC+0900,cg/D3WXl8C,,com.sec.android.app.shealth,7502d669-9cc1-45a5-a782-bc9cca271c8d,7e6f20e1-d838-453d-a601-82bc0d617ba1,
2021-08-13 10:55:35.875,1.0,,2021-08-13 10:57:40.082,2021-08-13 10:57:40.082,100006,복숭아반쪽  사과4.1,120001,250.0,UTC+0900,cg/D3WXl8C,,com.sec.android.app.shealth,bfd71782-49b1-4337-96be-5c1fbdd98679,a33ab319-9df2-4312-b659-e6a415339a42,
2021-07-04 09:36:05.966,0.0,,2021-07-04 09:36:05.969,2021-07-04 09:36:05.969,100003,,-1,0.0,UTC+0900,cg/D3WXl8C,,com.sec.android.app.shealth,3f480ed2-cc6a-45b5-a6d5-2447cd9a075f,meal_skipped,
2021-10-23 05:13:18.292,1.0,,2021-10-23 05:13:46.845,2021-10-23 05:13:46.845,100003,바나나,120001,80.0,UTC+0900,cg/D3WXl8C,,com.sec.android.app.shealth,f6a8ebf4-04c6-4730-986d-384d8f7c720d,2c339c86-9369-449e-a6d6-b199e3e2601f,
2021-08-11 21:30:49.429,1.0,,2021-08-11 21:32:49.748,2021-08-11 21:32:49.748,100001,고구마줄거리  열무김치  가지나물  새파프리카  된장시레기국  배추  생양파,120001,800.0,UTC+0900,cg/D3WXl8C,,com.sec.android.app.shealth,f842dc43-d2de-4d74-a38a-cceb38a34dfe,f5dbb840-bba9-450b-a68e-07de1b90cd22,
2021-10-23 05:13:18.292,1.0,,2021-10-23 05:13:46.845,2021-10-23 05:13:46.845,100003,배추김치,120001,11.0,UTC+0900,cg/D3WXl8C,,com.sec.android.app.shealth,64ac322c-ab3e-4be8-bf07-e4b186c4ac62,7eadd5f6-d53c-4164-bc65-dd8c05b00354,
2021-10-28 01:56:40.233,1.0,,2021-10-28 01:58:10.608,2021-10-28 01:58:10.608,100001,양배추 양파  생체 김 닦복음,120001,980.0,UTC+0900,cg/D3WXl8C,,com.sec.android.app.shealth,882465d8-e8a7-43df-a877-53b315354de3,93bfda83-858a-4fde-b3e8-b1c4586d16f8,
2021-10-23 05:12:56.716,1.0,,2021-10-23 05:13:13.113,2021-10-23 05:13:13.113,100002,현미밥,120001,315.0,UTC+0900,cg/D3WXl8C,,com.sec.android.app.shealth,30296a70-c99c-4204-b190-115b58a7556a,4a20e9eb-087e-4429-b38a-4577e06c7f59,
2021-10-26 01:08:37.467,1.0,,2021-10-26 01:09:39.768,2021-10-26 01:09:39.768,100001,양배추쌈 콩나물국 총각김치 묵,120001,950.0,UTC+0900,cg/D3WXl8C,,com.sec.android.app.shealth,ee7023ec-7f9f-4e84-bdbe-ac1b0216805d,589b9d2c-a5a8-4858-bf8f-5a559a4cd119,
2021-11-02 11:33:01.625,1.0,,2021-11-02 11:34:51.558,2021-11-02 11:34:51.558,100003,잡곡밥 된징찌게  양배추쌈  생체  꽈리고추무침  양파,120001,750.0,UTC+0900,cg/D3WXl8C,,com.sec.android.app.shealth,238fba33-3c51-41fe-9af9-db7a60013f34,e26be45f-d5c1-40f9-9dc9-6bb7f4e37543,
2021-11-02 04:49:31.566,1.0,,2021-11-02 04:51:36.226,2021-11-02 04:51:36.226,100002,기장밥참치순두국  닭볶음  기지나물 총각김치,120001,850.0,UTC+0900,cg/D3WXl8C,,com.sec.android.app.shealth,90b73dad-02a1-465e-ac27-b18bd8868f0f,bf1962e0-d6c5-4a89-9e97-b83c4f575b32,
2021-10-24 10:59:56.763,0.0,,2021-10-24 10:59:56.767,2021-10-24 10:59:56.767,100003,,-1,0.0,UTC+0900,cg/D3WXl8C,,com.sec.android.app.shealth,41bcd4aa-3c7d-499f-91b7-f01bd7b4b3a0,meal_skipped,
