,Date,Step Count,Speed (m/s),Distance,Greater than 10K steps,Avg. mental recovery,Avg. sleep efficiency,Avg. sleep score,Total sleep time,Nap duration,Starting sleep time(night),Ending sleep time(night),Number of times woken up during sleep,Sleep during night,Total night sleep,Min. HR (daily),Max. HR (daily),Avg. HR (daily),Number of samples (daily),Avg. day HR,Max. HR (day),Min. HR (day),Number of samples (day),Avg. night HR,Max. HR (night),Min. HR (night),Number of samples (night)
41,2021-08-13 ,5632,0.3,4396.39,No,,,,,,,,,,,90.0,102.0,95.0,2.0, , , , ,95.0,102.0,90.0,2
42,2021-08-14 ,578,1.18,431.52,No,,,,,,,,,,,,,,,,,,,,,,
43,2021-08-15 ,14517,0.68,11532.11,Yes,,,,,,,,,,,,,,,,,,,,,,
44,2021-08-16 ,16191,0.64,12608.39,Yes,73.0,81.12,76.0,6 hours 18 min,6 hours 18 min,,,11.0,No,0 hours 0 min,64.0,79.0,70.45,11.0,70.45,79.0,64.0,11, , , , 
45,2021-08-17 ,5144,0.49,4050.83,No,,,,,,,,,,,64.0,99.0,90.25,8.0,86.0,99.0,64.0,2,91.67,99.0,64.0,6
46,2021-08-18 ,944,0.6,728.76,No,,,,,,,,,,,73.0,92.0,82.0,8.0,84.5,92.0,73.0,2,81.17,92.0,73.0,6
47,2021-08-19 ,11426,0.79,8733.67,Yes,79.58,82.33,64.16,7 hours 9 min,4 hours 38 min,07:34:36,22:00:38,13.0,Yes,2 hours 31 min,59.0,92.0,74.03,31.0,72.29,92.0,59.0,21,77.7,92.0,59.0,10
48,2021-08-20 ,1824,1.2,1364.09,No,50.0,82.46,58.0,1 hours 50 min,0 hours 0 min,03:30:13,05:20:13,5.0,Yes,1 hours 50 min,59.0,100.0,82.87,15.0,83.0,100.0,59.0,4,82.82,100.0,59.0,11
49,2021-08-21 ,3890,0.67,3078.44,No,,,,,,,,,,,,,,,,,,,,,,
50,2021-08-22 ,1114,0.63,842.42,No,,,,,,,,,,,,,,,,,,,,,,
51,2021-08-23 ,738,1.25,551.88,No,,,,,,,,,,,71.0,84.0,77.67,6.0, , , , ,77.67,84.0,71.0,6
52,2021-08-24 ,6153,0.63,4683.24,No,,,,,,,,,,,75.0,77.0,76.0,2.0, , , , ,76.0,77.0,75.0,2
53,2021-08-25 ,2903,0.31,2247.74,No,,,,,,,,,,,,,,,,,,,,,,
54,2021-08-26 ,15656,0.53,12088.72,Yes,,,,,,,,,,,,,,,,,,,,,,
55,2021-08-27 ,1756,1.36,1331.51,No,,,,,,,,,,,76.0,100.0,83.11,9.0,83.33,100.0,76.0,6,82.67,86.0,79.0,3
56,2021-08-28 ,28277,0.56,21781.99,Yes,86.0,85.66,82.0,8 hours 10 min,5 hours 35 min,21:00:01,23:32:01,14.0,Yes,2 hours 35 min,63.0,100.0,74.53,34.0,71.47,100.0,64.0,19,78.4,100.0,63.0,15
57,2021-08-29 ,4556,0.36,3532.66,No,70.0,65.52,41.0,2 hours 9 min,0 hours 0 min,06:36:05,08:45:05,2.0,Yes,2 hours 9 min,63.0,97.0,81.55,22.0,89.5,94.0,63.0,6,78.56,97.0,63.0,16
58,2021-08-30 ,7559,0.38,5835.98,No,,,,,,,,,,,78.0,98.0,88.35,17.0,86.0,98.0,78.0,5,89.33,98.0,78.0,12
59,2021-08-31 ,8866,0.47,6949.03,No,,,,,,,,,,,87.0,112.0,97.06,16.0,97.75,112.0,87.0,4,96.83,107.0,87.0,12
60,2021-09-01 ,17882,0.6,13855.95,Yes,79.0,82.71,55.0,7 hours 26 min,6 hours 32 min,21:11:38,21:52:38,13.0,Yes,0 hours 54 min,54.0,108.0,81.43,35.0,77.0,108.0,54.0,23,89.92,108.0,54.0,12
61,2021-09-02 ,18485,0.53,14286.35,Yes,,,,,,,,,,,66.0,111.0,90.42,12.0,86.25,111.0,66.0,4,92.5,111.0,66.0,8
62,2021-09-03 ,7731,0.31,6071.16,No,70.0,78.86,52.0,4 hours 46 min,4 hours 16 min,21:00:57,21:28:58,7.0,Yes,0 hours 30 min,61.0,108.0,79.56,27.0,71.13,108.0,61.0,15,90.08,108.0,61.0,12
63,2021-09-04 ,2239,0.25,1750.64,No,70.0,89.47,50.0,1 hours 12 min,0 hours 0 min,05:10:20,06:22:20,3.0,Yes,1 hours 12 min,61.0,104.0,93.88,8.0,92.0,104.0,61.0,2,94.5,104.0,61.0,6
64,2021-09-05 ,5360,0.39,4178.88,No,,,,,,,,,,,105.0,105.0,105.0,1.0, , , , ,105.0,105.0,105.0,1
65,2021-09-06 ,5084,0.48,3908.18,No,,,,,,,,,,,77.0,105.0,87.64,14.0,79.67,105.0,77.0,3,89.82,105.0,78.0,11
66,2021-09-07 ,11605,0.45,8956.36,Yes,,,,,,,,,,,68.0,98.0,78.33,15.0,78.6,98.0,68.0,5,78.2,98.0,68.0,10
67,2021-09-08 ,14362,0.46,11092.53,Yes,,,,,,,,,,,68.0,96.0,78.82,11.0,78.5,96.0,68.0,2,78.89,96.0,68.0,9
68,2021-09-09 ,14334,0.44,11087.34,Yes,,,,,,,,,,,82.0,104.0,92.71,7.0,97.0,98.0,82.0,1,92.0,104.0,82.0,6
69,2021-09-10 ,1905,1.38,1449.19,No,,,,,,,,,,,78.0,104.0,81.0,2.0, , , , ,81.0,104.0,78.0,2
70,2021-09-11 ,2959,0.78,2268.32,No,,,,,,,,,,,66.0,96.0,76.93,15.0,81.43,96.0,66.0,7,73.0,78.0,66.0,8
71,2021-09-12 ,7439,0.6,5728.14,No,85.0,85.94,77.0,7 hours 5 min,6 hours 31 min,21:04:44,21:31:44,13.0,Yes,0 hours 34 min,58.0,93.0,65.31,16.0,63.38,70.0,58.0,13,73.67,93.0,58.0,3
72,2021-09-13 ,7688,0.39,6009.94,No,,,,,,,,,,,58.0,117.0,96.27,11.0,87.0,117.0,58.0,1,97.2,117.0,58.0,10
73,2021-09-14 ,8476,0.5,6575.49,No,,,,,,,,,,,79.0,140.0,103.55,11.0,94.0,140.0,79.0,1,104.5,140.0,79.0,10
74,2021-09-15 ,11968,0.64,9263.02,Yes,,,,,,,,,,,83.0,120.0,92.93,14.0,87.2,120.0,83.0,5,96.11,120.0,83.0,9
75,2021-09-16 ,11985,0.71,9274.86,Yes,,,,,,,,,,,84.0,115.0,94.0,8.0,84.0,115.0,84.0,1,95.43,115.0,85.0,7
76,2021-09-17 ,31162,0.41,24293.56,Yes,,,,,,,,,,,81.0,95.0,89.0,5.0, , , , ,89.0,95.0,81.0,5
77,2021-09-18 ,1982,0.27,1548.19,No,,,,,,,,,,,65.0,108.0,78.1,10.0,65.0,108.0,65.0,1,79.56,108.0,67.0,9
78,2021-09-19 ,2098,0.35,1658.03,No,78.0,84.08,79.0,5 hours 53 min,4 hours 55 min,21:00:00,22:32:00,9.0,Yes,0 hours 58 min,54.0,82.0,62.4,15.0,62.83,82.0,54.0,12,60.67,67.0,54.0,3
79,2021-09-20 ,2031,0.34,1608.55,No,,,,,,,,,,,54.0,69.0,68.0,2.0, , , , ,68.0,69.0,54.0,2
80,2021-09-22 ,236,1.24,177.67,No,,,,,,,,,,,,,,,,,,,,,,
81,2021-09-23 ,3044,1.34,2316.82,No,,,,,,,,,,,,,,,,,,,,,,
82,2021-09-24 ,1581,1.33,1194.7,No,,,,,,,,,,,,,,,,,,,,,,
83,2021-09-25 ,96,1.25,72.91,No,,,,,,,,,,,,,,,,,,,,,,
84,2021-09-26 ,221,1.26,166.97,No,,,,,,,,,,,,,,,,,,,,,,
85,2021-09-27 ,2352,1.31,1776.32,No,,,,,,,,,,,,,,,,,,,,,,
86,2021-09-28 ,1755,1.33,1334.06,No,,,,,,,,,,,,,,,,,,,,,,
87,2021-09-29 ,1373,1.34,1037.69,No,,,,,,,,,,,,,,,,,,,,,,
88,2021-09-30 ,1107,1.27,836.49,No,,,,,,,,,,,,,,,,,,,,,,
89,2021-10-01 ,3465,1.3,2630.43,No,,,,,,,,,,,,,,,,,,,,,,
90,2021-10-02 ,979,1.16,730.22,No,,,,,,,,,,,,,,,,,,,,,,
91,2021-10-03 ,277,1.07,205.17,No,,,,,,,,,,,,,,,,,,,,,,
92,2021-10-04 ,2680,1.19,1977.97,No,,,,,,,,,,,,,,,,,,,,,,
93,2021-10-05 ,72,1.21,53.18,No,,,,,,,,,,,,,,,,,,,,,,
94,2021-10-06 ,2844,1.33,2156.56,No,,,,,,,,,,,,,,,,,,,,,,
95,2021-10-07 ,2398,1.28,1804.59,No,,,,,,,,,,,,,,,,,,,,,,
96,2021-10-08 ,1737,1.32,1318.99,No,,,,,,,,,,,,,,,,,,,,,,
97,2021-10-09 ,1206,1.03,910.04,No,,,,,,,,,,,,,,,,,,,,,,
98,2021-10-10 ,8141,0.4,6340.22,No,78.0,84.36,70.0,7 hours 30 min,7 hours 26 min,21:01:16,21:03:16,11.0,Yes,0 hours 4 min,60.0,87.0,71.83,18.0,72.06,87.0,60.0,17,68.0,80.0,60.0,1
99,2021-10-11 ,10480,0.38,8146.55,Yes,,,,,,,,,,,,,,,,,,,,,,
100,2021-10-12 ,8796,0.53,6731.11,No,,,,,,,,,,,,,,,,,,,,,,
101,2021-10-13 ,10114,0.62,7751.63,Yes,92.0,87.2,81.0,6 hours 54 min,6 hours 7 min,21:00:09,21:39:09,10.0,Yes,0 hours 47 min,63.0,82.0,70.5,14.0,69.27,82.0,63.0,11,75.0,82.0,63.0,3
102,2021-10-14 ,10085,0.61,7751.12,Yes,,,,,,,,,,,54.0,108.0,89.2,15.0,86.62,108.0,54.0,8,92.14,108.0,63.0,7
103,2021-10-15 ,10429,0.53,8029.7,Yes,61.0,84.85,69.0,8 hours 25 min,7 hours 33 min,21:01:09,21:27:09,15.0,Yes,0 hours 52 min,57.0,108.0,84.4,30.0,78.95,108.0,67.0,19,93.82,108.0,57.0,11
104,2021-10-16 ,28373,0.36,21961.19,Yes,70.0,84.02,44.6,6 hours 52 min,5 hours 51 min,21:10:50,22:00:51,13.0,Yes,1 hours 1 min,57.0,104.0,83.92,25.0,83.6,104.0,57.0,20,85.2,101.0,57.0,5
105,2021-10-17 ,13295,0.51,10278.53,Yes,,,,,,,,,,,74.0,103.0,95.29,7.0,92.5,103.0,74.0,2,96.4,103.0,74.0,5
106,2021-10-18 ,13759,0.5,10599.47,Yes,,,,,,,,,,,62.0,108.0,93.71,14.0,83.0,108.0,62.0,4,98.0,108.0,82.0,10
107,2021-10-19 ,15181,0.43,11733.08,Yes,,,,,,,,,,,82.0,104.0,95.2,10.0, , , , ,95.2,104.0,82.0,10
108,2021-10-20 ,14823,0.44,11427.49,Yes,,,,,,,,,,,82.0,114.0,94.19,16.0,90.29,114.0,82.0,7,97.22,114.0,83.0,9
109,2021-10-21 ,6886,0.44,5317.13,No,,,,,,,,,,,59.0,105.0,92.89,18.0,91.88,105.0,85.0,8,93.7,105.0,59.0,10
110,2021-10-22 ,5592,0.81,4261.54,No,70.0,84.57,36.0,5 hours 59 min,4 hours 1 min,21:02:10,22:51:10,10.0,Yes,1 hours 58 min,54.0,116.0,88.46,28.0,86.84,116.0,54.0,19,91.89,116.0,59.0,9
111,2021-10-23 ,15942,0.37,12549.25,Yes,,,,,,,,,,,74.0,154.0,100.38,13.0,101.67,154.0,74.0,3,100.0,154.0,74.0,10
112,2021-10-24 ,9154,0.34,7313.54,No,,,,,,,,,,,83.0,117.0,98.33,6.0,98.67,117.0,94.0,3,98.0,117.0,83.0,3
113,2021-10-25 ,18144,0.59,13983.26,Yes,,,,,,,,,,,83.0,100.0,94.5,10.0,98.0,100.0,83.0,2,93.62,97.0,83.0,8
114,2021-10-26 ,6984,0.49,5374.47,No,,,,,,,,,,,84.0,112.0,101.43,7.0,95.0,112.0,84.0,1,102.5,112.0,84.0,6
115,2021-10-27 ,7068,0.37,5447.12,No,61.0,84.7,68.0,5 hours 33 min,5 hours 31 min,20:59:19,21:01:19,10.0,Yes,0 hours 2 min,58.0,109.0,77.97,29.0,73.14,109.0,58.0,21,90.62,109.0,62.0,8
116,2021-10-28 ,8080,0.59,6181.6,No,,,,,,,,,,,62.0,115.0,98.5,14.0,98.86,115.0,62.0,7,98.14,108.0,62.0,7
117,2021-10-30 ,28433,0.4,21977.12,Yes,71.41,68.18,50.2,1 hours 43 min,0 hours 0 min,04:30:19,07:33:19,3.0,Yes,1 hours 43 min,40.0,103.0,84.64,14.0,89.0,103.0,40.0,3,83.45,103.0,40.0,11
118,2021-10-31 ,3696,0.62,2849.13,No,,,,,,,,,,,92.0,107.0,99.5,2.0, , , , ,99.5,107.0,92.0,2
119,2021-11-01 ,8298,0.4,6443.71,No,,,,,,,,,,,78.0,109.0,90.4,10.0, , , , ,90.4,109.0,78.0,10
120,2021-11-02 ,11512,0.35,8970.73,Yes,79.0,87.94,81.0,6 hours 55 min,6 hours 16 min,21:08:28,21:34:28,16.0,Yes,0 hours 39 min,65.0,118.0,83.96,28.0,77.21,118.0,65.0,19,98.22,118.0,65.0,9
121,2021-11-03 ,12639,0.39,9849.19,Yes,,,,,,,,,,,65.0,109.0,97.14,7.0, , , , ,97.14,109.0,65.0,7
122,2021-11-04 ,11980,0.4,9284.88,Yes,62.0,73.76,50.0,2 hours 2 min,2 hours 2 min,,,4.0,No,0 hours 0 min,55.0,125.0,91.4,20.0,85.55,101.0,55.0,11,98.56,125.0,86.0,9
123,2021-11-05 ,5804,0.34,4469.68,No,,,,,,,,,,,77.0,125.0,103.47,15.0,99.0,125.0,77.0,2,104.15,125.0,77.0,13
124,2021-11-06 ,53,1.26,39.68,No,,,,,,,,,,,,,,,,,,,,,,
125,2021-11-07 ,24272,0.85,18459.29,Yes,,,,,,,,,,,87.0,120.0,99.43,7.0,102.67,120.0,87.0,3,97.0,113.0,89.0,4
126,2021-11-08 ,10587,0.39,8222.13,Yes,,,,,,,,,,,80.0,123.0,92.36,14.0,88.33,123.0,80.0,3,93.45,123.0,81.0,11
127,2021-11-09 ,6410,0.38,4977.37,No,58.0,85.68,66.0,6 hours 58 min,6 hours 58 min,,,13.0,No,0 hours 0 min,51.0,109.0,76.67,30.0,73.62,109.0,51.0,21,83.78,109.0,51.0,9
128,2021-11-10 ,13569,0.41,10555.26,Yes,70.0,81.11,36.0,0 hours 44 min,0 hours 44 min,,,3.0,No,0 hours 0 min,53.0,102.0,88.08,12.0,85.67,102.0,53.0,3,88.89,102.0,53.0,9
129,2021-11-11 ,12986,0.35,10136.16,Yes,,,,,,,,,,,84.0,119.0,99.3,10.0,101.5,119.0,84.0,2,98.75,119.0,84.0,8
130,2021-11-12 ,5848,0.31,4565.52,No,,,,,,,,,,,74.0,112.0,96.6,5.0, , , , ,96.6,112.0,74.0,5
131,2021-11-13 ,5539,0.51,4241.06,No,,,,,,,,,,,79.0,102.0,87.54,13.0,84.0,102.0,79.0,6,90.57,100.0,86.0,7
132,2021-11-14 ,5979,0.36,4640.66,No,,,,,,,,,,,103.0,123.0,109.75,8.0, , , , ,109.75,123.0,103.0,8
133,2021-11-15 ,4438,0.35,3460.27,No,,,,,,,,,,,61.0,113.0,92.3,10.0,84.67,113.0,61.0,3,95.57,113.0,86.0,7
134,2021-11-16 ,9699,0.57,7483.59,No,,,,,,,,,,,94.0,103.0,98.5,2.0, , , , ,98.5,103.0,94.0,2
135,2021-11-17 ,12490,0.34,9795.87,Yes,,,,,,,,,,,61.0,111.0,93.56,9.0,91.8,111.0,61.0,5,95.75,111.0,83.0,4
136,2021-11-18 ,12588,0.38,9779.64,Yes,,,,,,,,,,,83.0,105.0,96.12,16.0,93.14,104.0,83.0,7,98.44,105.0,84.0,9
137,2021-11-19 ,6076,0.35,4707.37,No,,,,,,,,,,,79.0,120.0,96.55,20.0,91.08,120.0,79.0,13,106.71,119.0,89.0,7
138,2021-11-20 ,12647,0.73,9682.83,Yes,,,,,,,,,,,51.0,128.0,85.73,26.0,81.88,128.0,51.0,8,87.44,128.0,51.0,18
139,2021-11-21 ,5684,0.78,4389.05,No,,,,,,,,,,,60.0,158.0,89.84,19.0,91.71,158.0,60.0,7,88.75,158.0,64.0,12
140,2021-11-22 ,4737,0.62,3637.1,No,,,,,,,,,,,63.0,134.0,96.17,6.0, , , , ,96.17,134.0,63.0,6
141,2021-11-23 ,9613,0.34,7468.05,No,81.05,86.1,76.9,3 hours 45 min,3 hours 45 min,,,6.0,No,0 hours 0 min,55.0,152.0,76.37,51.0,69.62,152.0,55.0,29,85.27,152.0,60.0,22
142,2021-11-24 ,14281,0.36,11106.99,Yes,,,,,,,,,,,,,,,,,,,,,,
143,2021-11-25 ,14116,0.37,11006.26,Yes,,,,,,,,,,,,,,,,,,,,,,
144,2021-11-26 ,8780,0.39,6819.88,No,,,,,,,,,,,,,,,,,,,,,,
145,2021-11-27 ,1787,1.27,1346.14,No,,,,,,,,,,,,,,,,,,,,,,
146,2021-11-28 ,188,1.0,139.66,No,,,,,,,,,,,,,,,,,,,,,,
 ,"com.samsung.shealth.tracker.heart_rate,6170019,3"
