com.samsung.shealth.exercise,6196009,11
live_data_internal,mission_value,subset_data,total_calorie,completion_status,pace_info_id,pace_live_data,sensing_status,source_type,mission_type,tracking_status,program_id,reward_status,heart_rate_sample_count,mission_extra_value,program_schedule_id,heart_rate_deviceuuid,location_data_internal,additional_internal,com.samsung.health.exercise.duration,com.samsung.health.exercise.additional,com.samsung.health.exercise.mean_caloricburn_rate,com.samsung.health.exercise.location_data,com.samsung.health.exercise.start_time,com.samsung.health.exercise.exercise_type,com.samsung.health.exercise.custom,com.samsung.health.exercise.max_altitude,com.samsung.health.exercise.incline_distance,com.samsung.health.exercise.mean_heart_rate,com.samsung.health.exercise.count_type,com.samsung.health.exercise.mean_rpm,com.samsung.health.exercise.min_altitude,com.samsung.health.exercise.max_heart_rate,com.samsung.health.exercise.update_time,com.samsung.health.exercise.create_time,com.samsung.health.exercise.max_power,com.samsung.health.exercise.max_speed,com.samsung.health.exercise.mean_cadence,com.samsung.health.exercise.min_heart_rate,com.samsung.health.exercise.count,com.samsung.health.exercise.distance,com.samsung.health.exercise.max_caloricburn_rate,com.samsung.health.exercise.calorie,com.samsung.health.exercise.max_cadence,com.samsung.health.exercise.decline_distance,com.samsung.health.exercise.vo2_max,com.samsung.health.exercise.time_offset,com.samsung.health.exercise.deviceuuid,com.samsung.health.exercise.max_rpm,com.samsung.health.exercise.comment,com.samsung.health.exercise.live_data,com.samsung.health.exercise.mean_power,com.samsung.health.exercise.mean_speed,com.samsung.health.exercise.pkg_name,com.samsung.health.exercise.altitude_gain,com.samsung.health.exercise.altitude_loss,com.samsung.health.exercise.exercise_custom_type,com.samsung.health.exercise.end_time,com.samsung.health.exercise.datauuid
,,,,1,,,,4,0,0,,,,,,,,,874242,,,,2017-05-27 21:44:00.000,1001,,,,,,,,,2017-05-27 21:59:46.291,2017-05-27 21:59:46.291,,1.6388888,,,,1143.46,,61.34,,,,UTC+0900,poYXze4wAV,,,dd8d03e3-5197-4c48-bf28-06db2e828582.com.samsung.health.exercise.live_data.json,,1.3079444,com.sec.android.app.shealth,,,,2017-05-27 21:58:34.000,dd8d03e3-5197-4c48-bf28-06db2e828582,
,,,,1,,,,4,0,0,,,,,,,,,862554,,,,2017-05-11 13:19:00.000,1001,,,,,,,,,2017-05-11 13:34:46.572,2017-05-11 13:34:46.572,,2.1360505,,,,1187.1,,62.43,,,,UTC+0900,poYXze4wAV,,,fad16e6b-c40d-414a-8f70-6b8e137d7977.com.samsung.health.exercise.live_data.json,,1.3762617,com.sec.android.app.shealth,,,,2017-05-11 13:33:22.000,fad16e6b-c40d-414a-8f70-6b8e137d7977,
,,,,1,,,,4,0,0,,,,,,,,,1479678,,,,2017-06-18 02:02:00.000,1001,,,,,,,,,2017-06-18 02:26:26.558,2017-06-18 02:26:26.558,,2.0833335,,,,1567.66,,100.24,,,,UTC+0900,poYXze4wAV,,,cb9c36d0-e00b-4b2f-abc3-d445be0f9499.com.samsung.health.exercise.live_data.json,,1.0594603,com.sec.android.app.shealth,,,,2017-06-18 02:26:39.000,cb9c36d0-e00b-4b2f-abc3-d445be0f9499,
,,,,1,,,,4,0,0,,,,,,,,,1919625,,,,2017-05-28 02:40:18.000,1001,,,,,,,,,2017-05-28 03:18:35.740,2017-05-28 03:18:35.740,,3.5833333,,,,2510.8,,133.99,,,,UTC+0900,poYXze4wAV,,,a887b89a-dba6-417a-8a49-3af1d3f8e734.com.samsung.health.exercise.live_data.json,,1.3079637,com.sec.android.app.shealth,,,,2017-05-28 03:12:18.000,a887b89a-dba6-417a-8a49-3af1d3f8e734,
,,,,1,,,,4,0,0,,,,,,,,,782840,,,,2017-06-09 23:27:01.000,1001,,,,,,,,,2017-06-09 23:41:04.846,2017-06-09 23:41:04.846,,1.8920001,,,,1014.42,,59.28,,,,UTC+0900,poYXze4wAV,,,e270b800-c54f-408d-8414-175936921d80.com.samsung.health.exercise.live_data.json,,1.2958204,com.sec.android.app.shealth,,,,2017-06-09 23:40:03.000,e270b800-c54f-408d-8414-175936921d80,
,,,,1,,,,4,0,0,,,,,,,,,1322196,,,,2017-07-26 10:08:00.000,1001,,,,,,,,,2017-07-26 10:31:01.976,2017-07-26 10:31:01.976,,3.4722223,,,,1860.01,,97.13,,,,UTC+0900,poYXze4wAV,,,78d500bf-1222-4131-8e02-ba30399d7ade.com.samsung.health.exercise.live_data.json,,1.4067581,com.sec.android.app.shealth,,,,2017-07-26 10:30:02.000,78d500bf-1222-4131-8e02-ba30399d7ade,
,,,,1,,,,4,0,0,,,,,,,,,2905721,,,,2017-06-26 08:11:38.000,1001,,,,,,,,,2017-06-26 09:43:12.307,2017-06-26 09:43:12.307,,4.0833335,,,,3879.68,,213.89,,,,UTC+0900,poYXze4wAV,,,3676aab2-a88e-4deb-8485-81d60ea70200.com.samsung.health.exercise.live_data.json,,1.3351866,com.sec.android.app.shealth,,,,2017-06-26 09:00:04.000,3676aab2-a88e-4deb-8485-81d60ea70200,
,,,,1,,,,4,0,0,,,,,,,,,1172581,,,,2017-07-20 23:45:00.000,1001,,,,,,,,,2017-07-21 00:06:18.889,2017-07-21 00:06:18.889,,2.8888888,,,,1632.21,,91.26,,,,UTC+0900,poYXze4wAV,,,e90068ae-0615-40c1-8ccd-5d33e5efdf14.com.samsung.health.exercise.live_data.json,,1.3919806,com.sec.android.app.shealth,,,,2017-07-21 00:04:32.000,e90068ae-0615-40c1-8ccd-5d33e5efdf14,
,,,,1,,,,4,0,0,,,,,,,,,2228432,,,,2017-08-05 13:16:00.000,1001,,,,,,,,,2017-08-05 13:55:41.656,2017-08-05 13:55:41.656,,6.9444447,,,,3320.2197,,188.28998,,,,UTC+0900,poYXze4wAV,,,5e4b1e58-b1bc-46d4-a210-b029dfb942e3.com.samsung.health.exercise.live_data.json,,1.4899354,com.sec.android.app.shealth,,,,2017-08-05 13:53:08.000,5e4b1e58-b1bc-46d4-a210-b029dfb942e3,
,,,,1,,,,4,0,0,,,,,,,,,948873,,,,2017-07-26 10:37:25.000,1001,,,,,,,,,2017-07-26 10:54:14.774,2017-07-26 10:54:14.774,,2.8877468,,,,1492.45,,88.0,,,,UTC+0900,poYXze4wAV,,,f5e10e91-5678-4d11-afd4-a924e7f13f7a.com.samsung.health.exercise.live_data.json,,1.572866,com.sec.android.app.shealth,,,,2017-07-26 10:53:14.000,f5e10e91-5678-4d11-afd4-a924e7f13f7a,
,,,,1,,,,4,0,0,,,,,,,,,1734000,,,,2017-07-29 03:21:00.000,1001,,,,,,,,,2017-07-29 03:55:02.085,2017-07-29 03:55:02.085,,1.8333334,,,,2200.99,,115.17,,,,UTC+0900,poYXze4wAV,,,3cf119a7-d694-4110-854f-5fa6f7eef5fc.com.samsung.health.exercise.live_data.json,,1.2693137,com.sec.android.app.shealth,,,,2017-07-29 03:49:54.000,3cf119a7-d694-4110-854f-5fa6f7eef5fc,
,,,,1,,,,4,0,0,,,,,,,,,982836,,,,2017-08-09 14:03:00.000,1001,,,,,,,,,2017-08-09 14:20:25.502,2017-08-09 14:20:25.502,,5.6666665,,,,1335.58,,69.77,,,,UTC+0900,poYXze4wAV,,,a05f7b94-db8d-4b38-afd6-83a93d8bdf2b.com.samsung.health.exercise.live_data.json,,1.3589042,com.sec.android.app.shealth,,,,2017-08-09 14:19:23.000,a05f7b94-db8d-4b38-afd6-83a93d8bdf2b,
,,,,1,,,,4,0,0,,,,,,,,,1396370,,,,2017-08-06 03:59:00.000,1001,,,,,,,,,2017-08-06 04:22:05.074,2017-08-06 04:22:05.074,,1.9823008,,,,1485.5702,,85.09996,,,,UTC+0900,poYXze4wAV,,,6c3f18e9-f6fa-4e55-a27e-2c158e4328da.com.samsung.health.exercise.live_data.json,,1.0638801,com.sec.android.app.shealth,,,,2017-08-06 04:22:16.000,6c3f18e9-f6fa-4e55-a27e-2c158e4328da,
,,,,1,,,,4,0,0,,,,,,,,,1290519,,,,2017-08-06 01:02:00.000,1001,,,,,,,,,2017-08-06 01:30:45.471,2017-08-06 01:30:45.471,,2.3611112,,,,1804.7,,113.75,,,,UTC+0900,poYXze4wAV,,,a46121a7-193c-4284-a5be-a3ce6db02b56.com.samsung.health.exercise.live_data.json,,1.3984296,com.sec.android.app.shealth,,,,2017-08-06 01:23:30.000,a46121a7-193c-4284-a5be-a3ce6db02b56,
,,,,1,,,,4,0,0,,,,,,,,,783952,,,,2017-08-21 02:49:00.000,1001,,,,,,,,,2017-08-21 03:03:03.309,2017-08-21 03:03:03.309,,5.1666665,,,,1149.73,,59.32,,,,UTC+0900,poYXze4wAV,,,657cb429-6ec6-41b7-9353-67b66e0094c1.com.samsung.health.exercise.live_data.json,,1.4665821,com.sec.android.app.shealth,,,,2017-08-21 03:02:03.000,657cb429-6ec6-41b7-9353-67b66e0094c1,
,,,,1,,,,4,0,0,,,,,,,,,2626744,,,,2017-08-14 12:55:00.000,1001,,,,,,,,,2017-08-14 13:40:08.703,2017-08-14 13:40:08.703,,2.8055556,,,,3740.44,,191.62,,,,UTC+0900,poYXze4wAV,,,343a22e6-68f6-45ab-a9bf-aae76784a848.com.samsung.health.exercise.live_data.json,,1.4239835,com.sec.android.app.shealth,,,,2017-08-14 13:38:46.000,343a22e6-68f6-45ab-a9bf-aae76784a848,
,,,,1,,,,4,0,0,,,,,,,,,1395139,,,,2017-10-16 11:54:00.000,1001,,,,,,,,,2017-10-16 12:36:28.420,2017-10-16 12:36:28.420,,3.5833333,,,,2548.2,,155.07,,,,UTC+0900,poYXze4wAV,,,8799720b-30b8-44e0-9a1c-68dff418592e.com.samsung.health.exercise.live_data.json,,1.8264848,com.sec.android.app.shealth,,,,2017-10-16 12:17:15.000,8799720b-30b8-44e0-9a1c-68dff418592e,
,,,,1,,,,4,0,0,,,,,,,,,815152,,,,2017-08-14 12:41:17.000,1001,,,,,,,,,2017-08-14 13:04:33.659,2017-08-14 13:04:33.659,,3.1666667,,,,1261.11,,64.03,,,,UTC+0900,poYXze4wAV,,,989f0225-2329-4120-b473-f7aae037ecee.com.samsung.health.exercise.live_data.json,,1.5470858,com.sec.android.app.shealth,,,,2017-08-14 12:54:52.000,989f0225-2329-4120-b473-f7aae037ecee,
,,,,1,,,,4,0,0,,,,,,,,,853333,,,,2017-12-03 01:07:00.000,1001,,,,,,,,,2017-12-03 01:35:00.460,2017-12-03 01:35:00.460,,2.0277777,,,,810.05,,57.06,,,,UTC+0900,poYXze4wAV,,,50d62e57-52c8-4387-a2fc-04d2d1c2cf81.com.samsung.health.exercise.live_data.json,,0.9492777,com.sec.android.app.shealth,,,,2017-12-03 01:21:13.000,50d62e57-52c8-4387-a2fc-04d2d1c2cf81,
,,,,1,,,,4,0,0,,,,,,,,,2587380,,,,2017-09-03 02:03:00.000,1001,,,,,,,,,2017-09-03 02:47:18.901,2017-09-03 02:47:18.901,,1.6343328,,,,3106.3599,,165.31999,,,,UTC+0900,poYXze4wAV,,,7e97e3ea-60eb-48fe-b375-e41ec0f81312.com.samsung.health.exercise.live_data.json,,1.2005813,com.sec.android.app.shealth,,,,2017-09-03 02:46:07.000,7e97e3ea-60eb-48fe-b375-e41ec0f81312,
,,,,1,,,,4,0,0,,,,,,,,,2650584,,,,2018-04-27 10:48:00.000,1001,,,,,,,,,2018-04-27 11:45:27.421,2018-04-27 11:45:27.421,,3.7222223,,,,2826.8599,,148.98,,,,UTC+0900,poYXze4wAV,,,54ce915c-4ef9-40e4-a877-c3520f5cc1f8.com.samsung.health.exercise.live_data.json,,1.0665046,com.sec.android.app.shealth,,,,2018-04-27 11:32:10.000,54ce915c-4ef9-40e4-a877-c3520f5cc1f8,
,,,,1,,,,4,0,0,,,,,,,,,2769328,,,,2017-08-27 12:51:00.000,1001,,,,,,,,,2017-08-27 15:02:03.769,2017-08-27 15:02:03.769,,3.1388888,,,,4011.73,,211.72995,,,,UTC+0900,poYXze4wAV,,,96ab3aec-61f0-4a58-bfda-249658ce1396.com.samsung.health.exercise.live_data.json,,1.4486294,com.sec.android.app.shealth,,,,2017-08-27 13:37:09.000,96ab3aec-61f0-4a58-bfda-249658ce1396,
,,,,1,,,,4,0,0,,,,,,,,,859356,,,,2018-05-20 04:48:00.000,1001,,,,,,,,,2018-05-20 05:15:00.316,2018-05-20 05:15:00.316,,1.75,,,,1009.36,,60.78,,,,UTC+0900,poYXze4wAV,,,434373df-1e65-4052-ba82-60778880aed0.com.samsung.health.exercise.live_data.json,,1.1745539,com.sec.android.app.shealth,,,,2018-05-20 05:02:19.000,434373df-1e65-4052-ba82-60778880aed0,
,,,,1,,,,4,0,0,,,,,,,,,2499249,,,,2017-10-22 03:29:06.000,1001,,,,,,,,,2017-10-22 05:26:19.550,2017-10-22 05:26:19.550,,1.4722222,,,,3162.17,,170.52,,,,UTC+0900,poYXze4wAV,,,968bb7ae-4c04-46ae-b5ef-0d82a295edbb.com.samsung.health.exercise.live_data.json,,1.2652481,com.sec.android.app.shealth,,,,2017-10-22 04:10:45.000,968bb7ae-4c04-46ae-b5ef-0d82a295edbb,
,,,,1,,,,4,0,0,,,,,,,,,740190,,,,2017-10-20 11:56:00.000,1001,,,,,,,,,2017-10-20 12:09:40.702,2017-10-20 12:09:40.702,,1.3333334,,,,930.11,,49.36,,,,UTC+0900,poYXze4wAV,,,d1562c3c-6cb5-48f4-84cf-012609256805.com.samsung.health.exercise.live_data.json,,1.2565827,com.sec.android.app.shealth,,,,2017-10-20 12:08:20.000,d1562c3c-6cb5-48f4-84cf-012609256805,
,,,,1,,,,4,0,0,,,,,,,,,692860,,,,2018-05-27 04:27:12.000,1001,,,,,,,,,2018-05-27 04:54:22.080,2018-05-27 04:54:22.080,,2.2222223,,,,995.23,,54.3,,,,UTC+0900,poYXze4wAV,,,e6482708-8c1f-421f-abea-de0f1ae72140.com.samsung.health.exercise.live_data.json,,1.4364085,com.sec.android.app.shealth,,,,2018-05-27 04:38:45.000,e6482708-8c1f-421f-abea-de0f1ae72140,
,,,,1,,,,4,0,0,,,,,,,,,2941800,,,,2018-06-16 13:10:00.000,1001,,,,,,,,,2018-06-16 14:00:02.093,2018-06-16 14:00:02.093,,3.6944444,,,,4505.7,,251.13,,,,UTC+0900,poYXze4wAV,,,53b14d38-84a0-48c8-ac62-ca3ba7ebe5e3.com.samsung.health.exercise.live_data.json,,1.5316132,com.sec.android.app.shealth,,,,2018-06-16 13:59:01.000,53b14d38-84a0-48c8-ac62-ca3ba7ebe5e3,
,,,,1,,,,4,0,0,,,,,,,,,2207381,,,,2018-04-15 03:26:00.000,1001,,,,,,,,,2018-04-15 04:15:01.145,2018-04-15 04:15:01.145,,1.7222222,,,,2657.96,,143.84,,,,UTC+0900,poYXze4wAV,,,b6816fcb-bd5d-4166-92f9-53b2134c6d96.com.samsung.health.exercise.live_data.json,,1.2041239,com.sec.android.app.shealth,,,,2018-04-15 04:02:47.000,b6816fcb-bd5d-4166-92f9-53b2134c6d96,
